trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,9,-4.396919808710113,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",25,1,-52.67496697450284,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-162.71084320139494,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,2,-24.586917088372797,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-70.3923485313967,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",20,0,-60.63178714769572,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-68.71651117146365,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",30,0,-121.29908380720546,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,8,1.7028675217260987,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-46.98173811565361,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-73.56815454548646,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",25,10,-22.53731803460324,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-67.11681814678609,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",20,0,-104.43549065549264,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-58.45033291170997,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",30,15,-18.474734002020693,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,8,-82.46272749878214,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.7445315874659094}",25,13,-10.535678133070126,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,18,-41.80924109332538,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.7371233743916278}",35,18,-77.73596411462668,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-140.9383381336875,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",30,0,-23.744351980729707,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-102.84492462477402,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",20,0,-81.95526016782748,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-41.06672258775353,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.7153380863525599}",20,16,6.761927681426134,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7117703227626098}",25,17,4.4680281183576165,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.7082203534678}",20,1,-115.73353530068702,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-276.56129218005975,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 6}",0
71,False,"{'a': 0.5, 'e': 0.7011734432085724}",20,0,-53.22274235167038,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.697676326071031}",20,8,-17.02362981846706,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6941966508779789}",20,0,-147.12996897392202,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,9,-38.132171083187245,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.6872892787909722}",20,0,-78.76002354683878,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,11,-27.10360387566913,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6804506362045877}",25,0,-24.928582835025836,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,1,-68.2664292495732,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.6736800392488677}",20,0,-51.22159780463319,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,18,10.995358753536328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,3,-26.346161642576632,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,13,-53.12038793309257,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.6603402807049829}",20,0,-45.180150527909355,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6570468198150569}",30,0,-109.43755890151486,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.6537697851298473}",25,5,11.043925347705397,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,18,1.2911643523681766,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6472646670780347}",20,0,-5.858291201073881,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,2.5033715141505137,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6408242760323188}",30,0,-52.975985173353614,"{0: 23, 1: 5, 2: 0, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-18.33073242067747,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.6344479679482282}",20,0,-25.208321151075896,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-41.0827290481643,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6281351051896408}",20,6,-37.02708187340005,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,5,-13.465341892502444,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.6218850564650201}",25,0,-78.28977562560193,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-36.85530134545756,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.6156971967642851}",20,0,-6.330507025015193,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-148.54037674826282,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.6095709072963094}",20,0,-33.726146723826396,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
